Sample,Notes,Unit,Analysis_type,UTM (E),UTM (N),Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Original Total,Ba,Ce,Cr,Cu,Ga,La,Nb,Nd,Ni,Pb,Rb,Sc,Sr,Th,U,V,Y,Zn,Zr,,,
T_63,Site 5,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,63.14,0.00,17.37,4.77,0.00,0.98,3.94,5.64,4.15,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
T_63,site 7,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,59.40,0.55,15.78,8.00,0.00,3.16,5.14,4.33,3.65,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
T_63,site 8,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,58.54,0.00,17.51,5.62,0.00,3.08,5.10,3.94,4.43,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
T_63,site 13,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,53.54,1.73,15.71,9.83,0.00,3.23,5.93,5.36,4.36,0.30,100.00,,,,,,,,,,,,,,,,,,,,,,
T_63,site 14,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,55.56,1.65,16.95,7.76,0.00,2.87,6.24,4.61,4.36,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
63-rim,site 19,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,53.10,2.78,15.48,9.55,0.30,3.54,6.37,4.59,2.65,1.64,100.00,,,,,,,,,,,,,,,,,,,,,,
S_63,site 34,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,54.45,2.56,16.10,9.69,0.25,3.01,6.36,3.28,3.14,1.17,100.00,,,,,,,,,,,,,,,,,,,,,,
S_63,site 35,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,53.23,2.47,15.51,9.43,0.19,3.14,6.43,3.30,3.07,1.13,97.89,,,,,,,,,,,,,,,,,,,,,,
S_63,site 37,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,53.62,2.51,15.71,9.47,0.16,3.01,6.24,3.07,3.15,1.15,98.09,,,,,,,,,,,,,,,,,,,,,,
S_63,site 39,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,52.80,2.43,15.75,9.38,0.15,3.15,6.30,3.59,3.26,1.10,97.93,,,,,,,,,,,,,,,,,,,,,,
S_63,site 44,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,53.35,2.58,15.04,9.97,0.19,2.86,5.84,3.18,3.43,1.13,97.62,,,,,,,,,,,,,,,,,,,,,,
S_63,site 48,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,54.26,2.51,16.17,9.26,0.21,3.24,6.43,3.48,3.24,1.18,100.00,,,,,,,,,,,,,,,,,,,,,,
T_67,site 4,"Initial Scoria Fall ""S""",EDS,460236,4095310,37.00310357,-117.4469236,50.81,1.52,18.42,6.83,0.12,3.15,8.85,4.61,2.47,1.10,100.00,,,,,,,,,,,,,,,,,,,,,,
T_67,site 8,"Initial Scoria Fall ""S""",EDS,460236,4095310,37.00310357,-117.4469236,51.59,1.79,18.89,7.75,0.17,2.99,7.90,4.86,2.58,1.46,100.00,,,,,,,,,,,,,,,,,,,,,,
T_67,site 11,"Initial Scoria Fall ""S""",EDS,460236,4095310,37.00310357,-117.4469236,49.93,1.68,17.89,8.64,0.17,4.26,7.31,4.44,2.43,1.23,100.00,,,,,,,,,,,,,,,,,,,,,,
T_67,site 14,"Initial Scoria Fall ""S""",EDS,460236,4095310,37.00310357,-117.4469236,50.92,1.63,19.09,6.98,0.14,3.00,7.96,4.53,2.43,1.16,100.00,,,,,,,,,,,,,,,,,,,,,,
S_67,site 35,"Initial Scoria Fall ""S""",EDS,460236,4095310,37.00310357,-117.4469236,53.88,2.47,15.75,9.20,0.26,2.87,6.07,3.25,3.15,1.09,100.00,,,,,,,,,,,,,,,,,,,,,,
S_67,site 36,"Initial Scoria Fall ""S""",EDS,460236,4095310,37.00310357,-117.4469236,54.23,2.43,16.22,9.54,0.00,3.21,6.47,3.53,3.25,1.11,100.00,,,,,,,,,,,,,,,,,,,,,,
S_67,site 37,"Initial Scoria Fall ""S""",EDS,460236,4095310,37.00310357,-117.4469236,53.78,2.43,16.15,9.45,0.00,3.23,6.42,3.92,3.44,1.19,100.00,,,,,,,,,,,,,,,,,,,,,,
S_67,site 38,"Initial Scoria Fall ""S""",EDS,460236,4095310,37.00310357,-117.4469236,52.11,2.38,15.68,9.07,0.28,3.19,6.25,3.96,3.33,1.14,100.00,,,,,,,,,,,,,,,,,,,,,,
S_67,site 39,"Initial Scoria Fall ""S""",EDS,460236,4095310,37.00310357,-117.4469236,54.41,2.37,15.89,9.53,0.36,3.19,6.37,3.36,3.28,1.23,100.00,,,,,,,,,,,,,,,,,,,,,,
S_44,site 2,"Amphitheatre- 1st ash-poor bed, in Gulch 4, bulk sample",EDS,459812,4095069,37.00091312,-117.4516761,56.28,2.50,16.06,9.45,0.32,2.60,5.62,2.97,3.37,1.05,100.21,,,,,,,,,,,,,,,,,,,,,,
S_44,site 3,"Amphitheatre- 1st ash-poor bed, in Gulch 4, bulk sample",EDS,459812,4095069,37.00091312,-117.4516761,56.18,2.40,16.61,9.06,0.43,2.54,5.81,3.11,3.27,0.97,101.96,,,,,,,,,,,,,,,,,,,,,,
S_44,site 4,"Amphitheatre- 1st ash-poor bed, in Gulch 4, bulk sample",EDS,459812,4095069,37.00091312,-117.4516761,55.92,2.36,15.85,9.29,0.35,2.65,5.89,2.94,3.48,1.06,102.29,,,,,,,,,,,,,,,,,,,,,,
S_44,site 5,"Amphitheatre- 1st ash-poor bed, in Gulch 4, bulk sample",EDS,459812,4095069,37.00091312,-117.4516761,55.26,2.42,15.91,8.76,0.35,2.49,6.04,2.83,3.45,1.35,103.81,,,,,,,,,,,,,,,,,,,,,,
S_44,site 6,"Amphitheatre- 1st ash-poor bed, in Gulch 4, bulk sample",EDS,459812,4095069,37.00091312,-117.4516761,57.57,2.11,16.63,8.08,0.29,2.08,4.86,3.27,3.95,1.41,102.76,,,,,,,,,,,,,,,,,,,,,,
T_44,site 7,"Amphitheatre- 1st ash-poor bed, in Gulch 4, bulk sample",EDS,459812,4095069,37.00091312,-117.4516761,58.23,1.87,17.17,7.54,0.33,1.49,4.17,4.46,4.53,1.47,101.98,,,,,,,,,,,,,,,,,,,,,,
T_44,site 8,"Amphitheatre- 1st ash-poor bed, in Gulch 4, bulk sample",EDS,459812,4095069,37.00091312,-117.4516761,57.96,1.42,19.59,5.38,,1.58,5.83,4.07,3.46,2.81,102.08,,,,,,,,,,,,,,,,,,,,,,
T_44,site 9,"Amphitheatre- 1st ash-poor bed, in Gulch 4, bulk sample",EDS,459812,4095069,37.00091312,-117.4516761,58.12,2.35,16.50,9.03,,2.18,4.99,2.70,3.69,0.91,100.45,,,,,,,,,,,,,,,,,,,,,,
T_44,site 10,"Amphitheatre- 1st ash-poor bed, in Gulch 4, bulk sample",EDS,459812,4095069,37.00091312,-117.4516761,55.39,2.32,16.14,9.41,0.33,2.33,5.52,3.86,3.46,0.98,101.74,,,,,,,,,,,,,,,,,,,,,,
T_44,site 11,"Amphitheatre- 1st ash-poor bed, in Gulch 4, bulk sample",EDS,459812,4095069,37.00091312,-117.4516761,56.76,2.48,16.22,9.67,0.33,1.96,4.51,3.21,3.83,1.20,100.18,,,,,,,,,,,,,,,,,,,,,,
S_45,site 3,Amphitheatre - Lower block-and-bomb bed in Gulch 4,EDS,459812,4095069,37.00091312,-117.4516761,57.02,2.52,16.24,9.10,,2.38,5.62,2.98,3.64,1.44,100.92,,,,,,,,,,,,,,,,,,,,,,
S_45,site 4,Amphitheatre - Lower block-and-bomb bed in Gulch 5,EDS,459812,4095069,37.00091312,-117.4516761,58.12,2.30,16.40,8.40,0.45,2.15,5.01,3.03,3.66,1.02,100.55,,,,,,,,,,,,,,,,,,,,,,
S_45,site 5,Amphitheatre - Lower block-and-bomb bed in Gulch 6,EDS,459812,4095069,37.00091312,-117.4516761,55.76,2.51,15.93,9.45,0.30,2.44,5.47,2.98,3.60,1.15,101.72,,,,,,,,,,,,,,,,,,,,,,
S_45,site 6,Amphitheatre - Lower block-and-bomb bed in Gulch 7,EDS,459812,4095069,37.00091312,-117.4516761,56.21,2.40,16.26,9.01,,2.46,5.56,3.14,3.54,1.00,101.47,,,,,,,,,,,,,,,,,,,,,,
S_45,site 7,Amphitheatre - Lower block-and-bomb bed in Gulch 8,EDS,459812,4095069,37.00091312,-117.4516761,56.21,2.25,14.81,8.90,0.33,3.51,6.95,2.81,3.15,1.11,102.32,,,,,,,,,,,,,,,,,,,,,,
S_45,site 8,Amphitheatre - Lower block-and-bomb bed in Gulch 9,EDS,459812,4095069,37.00091312,-117.4516761,57.18,2.44,16.30,8.70,,2.34,5.17,2.90,3.59,0.92,102.15,,,,,,,,,,,,,,,,,,,,,,
T_45,site 9,Amphitheatre - Lower block-and-bomb bed in Gulch 10,EDS,459812,4095069,37.00091312,-117.4516761,57.76,2.53,16.31,8.20,0.32,2.08,4.34,3.60,4.19,0.96,100.28,,,,,,,,,,,,,,,,,,,,,,
T_45,site 10,Amphitheatre - Lower block-and-bomb bed in Gulch 11,EDS,459812,4095069,37.00091312,-117.4516761,56.02,2.49,16.25,9.19,0.38,2.32,5.26,3.18,3.68,1.05,102.52,,,,,,,,,,,,,,,,,,,,,,
T_45,site 11,Amphitheatre - Lower block-and-bomb bed in Gulch 12,EDS,459812,4095069,37.00091312,-117.4516761,54.25,2.60,15.17,9.99,0.34,2.53,6.14,3.01,3.76,1.45,101.42,,,,,,,,,,,,,,,,,,,,,,
